                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6901,                 1.1874,                0.98113,                0.80545,                0.67432,                0.74311,                 0.3832,                  1.606,                0.98777,                0.97171,             0.00066286,             0.00066286,             0.00066286
                      2,                  1.591,                0.90986,                0.95951,                0.81275,                0.72134,                0.77878,                0.40359,                 1.5734,                0.93933,                0.96362,              0.0013164,              0.0013164,              0.0013164
                      3,                 1.5552,                0.86518,                0.94517,                0.81056,                  0.732,                 0.7847,                 0.4216,                  1.572,                 0.9331,                0.96193,              0.0019567,              0.0019567,              0.0019567
                      4,                  1.533,                0.83983,                0.94506,                0.80316,                0.73113,                0.79215,                0.41212,                 1.5453,                0.90559,                0.95182,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4941,                0.80932,                0.93057,                0.84297,                0.72775,                0.81492,                0.44144,                 1.5004,                0.81373,                 0.9444,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4522,                0.78049,                0.92724,                0.83382,                0.76737,                0.84655,                0.49497,                  1.374,                0.77156,                0.92088,               0.001901,               0.001901,               0.001901
                      7,                 1.4499,                0.75705,                0.92103,                0.83544,                0.75509,                0.83184,                0.46357,                 1.4627,                0.77513,                0.94299,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4044,                0.73764,                 0.9143,                0.83544,                  0.768,                0.83997,                0.44091,                 1.4889,                0.77228,                0.93421,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4216,                0.74427,                0.91864,                0.85219,                0.77222,                0.84992,                0.48312,                 1.4093,                0.76186,                0.92222,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4178,                0.74509,                0.91544,                0.82826,                0.74454,                0.82863,                0.43321,                 1.5714,                0.81469,                0.94492,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.3884,                0.71494,                0.90996,                0.85982,                0.78841,                0.86461,                0.49188,                    1.4,                0.71207,                0.91438,               0.001802,               0.001802,               0.001802
                     12,                 1.3675,                0.70475,                0.90596,                0.85488,                0.81289,                0.88077,                0.50726,                 1.3428,                0.72704,                0.90698,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3621,                0.69766,                0.90231,                0.83621,                 0.8035,                0.86632,                0.51125,                 1.3579,                0.69717,                0.91292,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3416,                0.68231,                0.90104,                0.86873,                0.80023,                0.87766,                0.50337,                  1.352,                0.70836,                0.90449,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3364,                0.68344,                0.89692,                0.85549,                0.80587,                0.88032,                0.50981,                 1.3417,                0.69586,                0.90703,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3403,                0.68497,                0.89652,                0.86112,                0.81177,                0.88322,                0.50563,                 1.3532,                0.71104,                0.90556,               0.001703,               0.001703,               0.001703
